Schedule of Equipment Rates | FEMA.gov

# Schedule of Equipment Rates 

The rates on this Schedule of Equipment Rates are for applicant-owned equipment in good mechanical condition, complete with all required attachments. Each rate covers all costs eligible under the Robert T. Stafford Disaster Relief and Emergency Assistance Act, 42 U.S.C. § 5121, et seq., for ownership and operation of equipment, including depreciation, overhead, all maintenance, field repairs, fuel, lubricants, tires, OSHA equipment and other costs incidental to operation. Standby equipment costs are not eligible.

Equipment must be in actual operation performing eligible work in order for reimbursement to be eligible. Labor costs of the operator are not included in the rates and should be approved separately from equipment costs.

Information regarding the use of the Schedule is contained in 44 CFR § 206.228 Allowable Costs. Rates for equipment not listed will be furnished by FEMA upon request. Any appeals shall be in accordance with 44 CFR § 206.206 Appeals.

 

Download Past Schedules

2017 rates 2019 rates

2021 rates

2023 Rates

## Search the 2025 Schedule of Equipment Rates

These rates are applicable to major disaster and emergencies declared by the President on or after July 1, 2025.

Download the 2025 Schedule of Equipment Rates

| Cost Code | Equipment | Manufacturer | Specification | Capacity or Size | HP | Notes | Unit | 2025 Rates |
| 8380 | Loader, Crawler | Bobcat MT120 | | | to 25 | Includes bucket. | hour | $36.92 |
| 8381 | Loader, Crawler | Bobcat T450 | | | to 55 | Includes bucket. | hour | $41.49 |
| 8382 | Loader, Crawler | Bobcat T86 | | | to 105 | Includes bucket. | hour | $62.38 |
| 8383 | Loader, Crawler | Caterpillar 963C 2022 | 3.2 cu yd | 3 CY | to 178 | Includes bucket. | hour | $197.79 |
| 8384 | Loader, Crawler | Caterpillar 973C (disc. 2010) | 4.19 cu yd | 4 CY | to 238 | Includes bucket. | hour | $254.71 |
| 8390 | Loader, Wheel | Gehl 280 (disc. 2009) | 0.7 cu yd | 0.5 CY | to 38 | | hour | $36.72 |
| 8391 | Loader, Wheel | Bobcat L85 | | | to 68 | Includes bucket. | hour | $58.08 |
| 8392 | Loader, Wheel | Caterpillar 910 | | | to 110 | Includes bucket. | hour | $64.66 |
| 8393 | Loader, Wheel | Caterpillar 926 | | | to 170 | Includes bucket. | hour | $116.74 |
| 8394 | Loader, Wheel | Deere 644K - 4WD (disc. 2019) | 4.2 cu yd | 4 CY | 232 | | hour | $116.87 |
| 8395 | Loader, Wheel | Case 921C - 4WD (disc. 2008) | 5.0 cu yd | 5 CY | 255 | | hour | $163.20 |
| 8396 | Loader, Wheel | Caterpillar 950 | | | to 250 | Includes bucket. | hour | $139.80 |
| 8397 | Loader, Wheel | Caterpillar 972 | | | to 339 | Includes bucket. | hour | $143.78 |
| 8398 | Loader, Wheel | Caterpillar 988 | | | to 580 | Includes bucket. | hour | $341.25 |
| 8399 | Tractor, Wheel | John Deere 6605 (disc. 2005) | 100 IN. | 100 IN. | to 95 | Does not include mower attachment. Flail Industrial towed mower would add $4.96/Hour | hour | $70.76 |
| 8400 | Tractor, Wheel | New Holland T6030 (disc. 2012) | | | to 115 | Tractor - agriculture all purpose | hour | $90.92 |
| 8401 | Loader, Tractor, Wheel | Case 580 SUPER L (disc. 2000) | 0.87 CY | 0.87 CY | to 80 | | hour | $92.56 |
| 8410 | Mixer, Concrete Portable | Menegotti Concrete Mixer Wheelbarrow Concrete Mixer | 5.0 cu ft | 5.0 CF | 0.5 | | hour | $1.95 |
| 8411 | Mixer, Concrete, Trailer Mntd | TK Equipment Hydraulic Mortar Mixer w/ Honda Engine | MODEL MM12 Batch Capacity bags 3 1/2 - 4 bags Total Capacity cu. ft. (Lt) 3.29 cu. ft (376) Mixing Capacity cu.ft. (Lt) 12 cu.ft (340) | 12 CF | to 5 | | hour | $8.00 |
| 8412 | Mixer, Concrete, Trailer Mntd | TK Equipment Hydraulic Mortar Mixer w/ Honda Engine | MODEL HM 16 Batch Capacity Bags 4 - 5 bags Capacity Cu. Ft. (lts)16 cu.ft (453) | 16 CF | to 13 | | hour | $17.49 |
| 8414 | Truck, Concrete Mixer | FREIGHTLINER 114SD with Cummins X12 455V diesel engine | 11 CY Mixer | | 350 to 500 | | hour | $81.76 |
| 8419 | Breaker, Pavement Hand-held | Miscellaneous STANDARD 25-30 LBS | 80 - 90 Lbs | 90 Lbs | N/A | Includes bucket. | hour | $1.18 |
| 8420 | Breaker, Pavement | Arrow Master 1350 | | | to 80 | Includes bucket. | hour | $60.79 |
| 8421 | Vibrator, Concrete | 2/7/2021 | 2.5 in head, 16 ft shaft | | to 2 | Electric Powered | hour | $2.58 |
| 8423 | Spreader, Chip | 2010 Etnyre Quad Chip Spreader | 2.8 CY | 2.8 CY | to 260 | | hour | $105.39 |
| 8424 | Spreader, Chip | 2019 Rosco CSV | 3.5 CY | 3.8 CY | to 275 | | hour | $150.91 |
| 8425 | Spreader, Chip, Mounted | 8-CONVEYOR - Chip Spreaders for Tail Gate Mounting | 8 Ft | 8 Ft | to 8 | Includes bucket. | hour | $4.07 |
| 8430 | Paver, Asphalt, Towed | Layton F-525 | 96-144 in screed width | | N/A | Includes bucket. | hour | $12.44 |
| 8431 | Paver, Asphalt | Caterpillar AP 455 Track | Paving Range with SE47 FM 2.4 m - 5.9 m (8' - 19' 6") Operating weight with SE47 FM 31533 lb Maximum Throughput Capacity 853 ton(US)/h | | 120 | | hour | $262.71 |
| 8432 | Paver, Asphalt | Caterpillar AP 555 Track | Paving Range with SE47 FM 2.4 m - 6.1 m (8' - 20') Operating weight with SE47 FM 33689 lb Maximum Throughput Capacity 1100 ton(US)/h | | 148 | | hour | $271.01 |
| 8433 | Paver, Asphalt | Caterpillar AP 655 Track | Paving Range with SE47 FM 2.44 - 6.25 m (8' - 20' 6") Operating weight with SE47 FM 40560 lb Maximum Throughput Capacity 1433 ton(US)/h | | 173 | | hour | $308.47 |
| 8434 | Paver, Asphalt | Caterpillar AP 500 Wheel | Paving Range with SE47 FM 2.4 m - 5.9 m (8' - 19' 6") Operating weight with SE47 FM 32012 lb Maximum Throughput Capacity 1100 ton(US)/h | | 148 | | hour | $274.31 |
| 8435 | Paver, Asphalt | Caterpillar AP 1000 Wheel | Paving Range with SE60 FM 3 m - 7.8 m (10' - 25' 6") Operating weight with SE60 FM 42620 lb Maximum Throughput Capacity 1766 ton(US)/h | | 225 | | hour | $295.49 |
| 8436 | Pickup, Asphalt | Cadarapids CR-MS-4 (disc. 2020) | | | to 120 | Includes bucket. | hour | $135.80 |
| 8437 | Pickup, Asphalt | Cedarapids CR MS-2 | | | to 120 | Includes bucket. | hour | $193.47 |
| 8438 | Pickup, Asphalt | Blaw Knox MC330 (disc. 2007) | | | 184 to 200 | Includes bucket. | hour | $303.18 |
| 8439 | Pickup, Asphalt | Roadtec MTV-1000C | | MTV 1000C | to 275 | Includes bucket. | hour | $472.05 |
| 8440 | Striper, Self Propelled | Graco LineLazer 3400 Airless Line Striper | Single Bucket | 15 Gallon Bucket | to 5 | Includes bucket. | hour | $14.75 |
| 8441 | Striper, Self Propelled | Graco LineLazer V 200DC Standard Line Striper, Dua | Dual Bucket | 2x10 Gallon Buckets | to 6.5 | Includes bucket. | hour | $23.62 |
| 8442 | Striper, Self Propelled | Graco LineLazer V 250DC | Dual Bucket | 2x25 Gallon Buckets | to 13 | Includes bucket. | hour | $45.28 |
| 8445 | Striper, Truck Mounted | Graco RoadLazer RoadPak HD System, Option HD3: 2-Pump, 1350 lb Bead Tank | 1,350-pound bead tank | 1,350-pound bead tank | to 19 | Includes bucket. | hour | $43.79 |
| 8447 | Paver Accessory - Belt Extension | Miscellaneous 30 X 60' | 30" x 60' | 30" x 60' | N/A | Includes bucket. | hour | $28.48 |
| 8450 | Plow, Snow, Mounted Grader | VP-10 - Grader Snow Removal Equipment | 126 in (10.5-FT) | to 10 Ft | N/A | 8331 Grader not included | hour | $19.69 |
| 8451 | Plow, Snow, Mounted Grader | SW-14 - Grader Snow Removal Equipment | 168 in (14-FT) | to 14 Ft | N/A | 8332 Grader not included | hour | $23.66 |
| 8452 | Plow, Truck Mounted | One Way Plow | 13 Ft | to 15 Ft | N/A | 8722 truck not included | hour | $13.80 |
| 8453 | Plow, Truck Mounted | V-Plow R11 Leveling Wing | 11 Ft | to 15 Ft | N/A | With leveling wing. Include 8722 truck for total cost | hour | $29.92 |
| 8455 | Spreader, Sand | TAILGATE | Tailgate, Chassis mounted | Tailgate, Chassis | PTO | Truck not included | hour | $5.60 |
| 8456 | Spreader, Sand | DUMP BODY | Dump Body mounted | Dump Body | PTO | Truck not included | hour | $7.73 |
| 8457 | Spreader, Sand | TRUCK MNT | Truck Mounted, (10yd) | Truck (10yd) | N/A | Truck not included | hour | $10.47 |
| 8458 | Spreader, Chemical | Miscellaneous 5 Spreader | 5.0 cu yd | 5 CY | to 4 | Trailer & truck mounted. | hour | $6.47 |
| 8465 | Pump, Trash Pump | 6" Diesel Trash Pump Trailer Mount | 6 In Pump | 6 In Pump | to 23 | High flow trash pump delivers up to 59,400GPH | hour | $56.67 |
| 8466 | Pump, Trash Pump | 4" Diesel powered Trash Pump | 4 In Pump | 4 In Pump | to15 | High flow trash pump delivers up to 37,200GPH | hour | $27.38 |
| 8467 | Pump, Trash Pump | 3" Diesel powered Trash Pump | 3 In Pump | 3 In Pump | to 5 | High flow trash pump delivers up to 18,000GPH | hour | $13.06 |
| 8468 | Pump, Trash Pump | 2" Diesel powered Trash Pump | 2 In Pump | 2 In Pump | to 5 | High flow trash pump delivers up to 12,000GPH | hour | $9.31 |
| 8469 | Pump - Stormwater Custom | Catepillar/Lufkin/Fairbanks-Morse | 1740 CFS | | 5400 | | Hour | $1,743.10 |
| 8470 | Pump, Lightweight Centrifugal | 6M Alum./PORT. | 1.5 In pump | 2 In pump - 10,000 gal/hr. | to 4.5 | 6,500 gph, Hoses not included. | hour | $3.10 |
| 8471 | Pump, Lightweight Centrifugal | 8M Alum./PORT. | 2 In Pump | 2 In Pump - 3,000 gal/hr. | to 6 | 3,000 gph, Hoses not included. | hour | $3.09 |
| 8472 | Pump, Lightweight Centrifugal | 18M ALUM./PORT. | 3 In Pump | 3 In Pump - 18,000 gal/hr. | to 10 | 18,000 gph, Hoses not included. | hour | $2.43 |
| 8473 | Pump, Heavy Duty Centrifugal | 20M GASOLINE ELECTRIC START | 3 In Pump | | 15 | | hour | $9.18 |
| 8474 | Pump, Electric Submersible | Miscellaneous 4 Three Phase 25 HP | 4 In Pump | 4 In Pump | to 25 | Hoses not included. | hour | $8.20 |
| 8475 | Pump, Electric Submersible | Miscellaneous 6 Three Phase 35 HP | 6 In Pump | | | | hour | $18.43 |
| 8476 | Pump, Centrifugal | 40M GASOLINE ELECTRIC START | 4 In Pump | 4 In Pump | to 60 | 40,000 gph, Hoses not included. | hour | $25.62 |
| 8477 | Pump, Centrifugal | 90M GASOLINE ELECTRIC START Pump | 6 In Pump | 6 In Pump | to 95 | 90,000 gph, Hoses not included. | hour | $33.54 |
| 8478 | Pump, Centrifugal | 350M DIESEL ELECTRIC START Pump | 12 In Pump | 12 In Pump | to 140 | 350,000 gph, Hoses not included. | hour | $34.82 |
| 8486 | Aerial Lift, Truck Mounted | 2024 ALTEC AA55 MOUNTED ON 2024 FREIGHTLINER BUSINESS CLASS M2 106 | Ground to Bottom of Platform*: 55.1 ft (16.8 m) Maximum Side Reach: 43.1 ft (13.1 m) Boom Articulation (Lower Boom): 0 to 120 Rotation: Continuous | 55 FT | | Including Truck | hour | $62.86 |
| 8487 | Aerial Lift, Truck Mounted | 2024 ALTEC AH85B MOUNTED ON 2024 FREIGHTLINER BUSINESS CLASS M2 106 | Ground to Bottom of Platform*: 80 ft (24.4 m) Maximum Side Reach: 48 ft (14.6 m) Boom Articulation (Lower Boom): 0 to 95 Rotation: Continuous | 80 FT | | Including Truck | hour | $65.87 |
| 8488 | Aerial Lift, Truck Mounted | 2018 ALTEC AN67-E100 MOUNTED ON 2018 INTERNATIONAL WORKSTAR 7400 | Ground to Bottom of Platform* 100 ft (30.5 m) Maximum Side Reach:52.7 ft (16.1 m) Boom Articulation (Lower Boom): 0 to 120 Rotation: Continuous | 100 FT | | Including Truck | hour | $68.03 |
| 8489 | Aerial Lift, Truck Mounted | 2018 ALTEC AH125 MOUNTED ON 2018 FREIGHTLINER BUSINESS CLASS M2 112 | Ground to Bottom of Platform*: 120 ft (36.6 m) Maximum Side Reach: 50.4 ft (15.4 m) Boom Articulation (Lower Boom): 0 to 87 Rotation: ContinuousRotation: Continuous | 120 FT | | Including Truck | hour | $78.43 |
| 8490 | Aerial Lift, Self Propelled | JLG 340AJ Articulating Boom Lift | Horizontal Outreach:19ft 11in Platform Capacity Unrestricted:500lb Max Platform Height:33ft 10in | 33 FT | 25 | | hour | $38.27 |
| 8491 | Aerial Lift, Self Propelled | JLG 450AJ HC3 Articulating Boom Lift | Horizontal Outreach: 25ft 0in Max Platform Capacity: 1,000lb Max Platform Height: 45ft 0in | 45 FT | 60 | | hour | $48.28 |
| 8492 | Aerial Lift, Self Propelled | JLG 600AJ HC3 Articulating Boom Lift | Horizontal Outreach: 40ft 6in Max Platform Capacity: 1,000lb Max Platform Height: 60ft 0in | 60 FT | 84 | | hour | $59.10 |
| 8493 | Aerial Lift, Self Propelled | JLG 800AJ HC3 Articulating Boom Lift | Horizontal Outreach: 52ft 3in Max Platform Capacity: 1,000lb Max Platform Height: 80ft 4in | 80 FT | 84 | | hour | $65.19 |
| 8494 | Aerial Lift, Self Propelled | JLG 1250AJP Articulating Boom Lift | Horizontal Outreach: 63ft 2in Max Platform Capacity: 1,000lb Max Platform Height: 125ft 8in | 125 FT | 75 | | hour | $151.13 |
| 8495 | Aerial Lift, Self Propelled | JLG 1500AJP Articulating Boom Lift | Horizontal Outreach: 75ft 0in Max Platform Capacity: 1,000lb Max Platform Height: 150ft 0in | 150 FT | 100 | | hour | $176.48 |
| 8496 | Crane, Truck Mounted | 2025 MANITEX 1970C MOUNTED ON 2025 PETERBILT 537 | 19,000 LBS | 19,000 LBS | to 240 | | hour | $48.09 |
| 8497 | Crane, Truck Mounted | 2024 MANITEX 2281T MOUNTED ON 2024 PETERBILT 567 | 46,000 LBS | 46,000 LBS | to 510 | | hour | $53.07 |
| 8498 | Crane, Truck Mounted | 2024 MANITEX 30100C MOUNTED ON 2024 PETERBILT 548 | 60,000 LBS | 60,000 LBS | to 510 | | hour | $83.67 |
| 8500 | Crane, Yard | 2013 SHUTTLELIFT CD5520 | 20 ton capacity | 20 ton capacity | to 100 | | hour | $113.69 |
| 8501 | Crane, Rough Terrain | Broderson RT-300-2C | 29983 lbs/15 tons | | 155 | | hour | $293.14 |
| 8502 | Crane, All Terrain | 2007 GROVE GMK2035E | 69886 lbs/34.9 tons | | 157 | | hour | $226.10 |
| 8503 | Crane, All Terrain | 2006 GROVE GMK3055 | 119931 lbs/60 tons | | 349 | | hour | $285.76 |
| 8504 | Crane, Crawler Mounted Lattice Boom | American HC-125 (disc. 2004) | 250004 lbs/125 tons | | 245 | | hour | $338.94 |
| 8510 | Saw, Concrete | Miscellaneous 4.6-14MC | 14 In | 14 In | to 14 | | hour | $12.69 |
| 8511 | Saw, Concrete | Diamond CC6571D DIESEL LIQUID COOLED WALK BEHIND SAW | Interchangable Blade | 14 to 42 IN | to 71 | | hour | $27.60 |
| 8512 | Saw, Concrete | Diamond CC9074DK Deep Cut Saw | 60 IN | 60 IN | to 74 | | hour | $50.69 |
| 8514 | Chain Trencher, Wheel Mounted | Vermeer V120 | 60 in depth | 31 in depth | to 116 | 60 in depth. Now saved in EW as V120. | hour | $286.18 |
| 8517 | Jackhammer (dry) | Miscellaneous 25DRY | 25 lbs | 25 | Air | Pneumatic Powered | hour | $1.64 |
| 8518 | Jackhammer (wet) | Miscellaneous 30WET | 30 lbs | 30 | Air | Pneumatic Powered | hour | $1.68 |
| 8521 | Scraper | Caterpillar 631 (2019) | 34 yard | | to 570 | Includes bucket. | hour | $341.78 |
| 8522 | Scraper | Caterpillar 651 | 44 yard | | to 629 | Includes bucket. | hour | $504.75 |
| 8524 | Scraper | Caterpillar 621 (2012) | 24 yard | | to 407 | Includes bucket. | hour | $221.18 |
| 8540 | Loader, Skid Steer | Bobcat S70 | | | to 24 | Includes bucket. | hour | $31.06 |
| 8541 | Loader, Skid Steer | Bobcat S76 | | | to 74 | Includes bucket. | hour | $45.23 |
| 8542 | Loader, Skid Steer | Bobcat S86 | | | to 105 | Includes bucket. | hour | $60.67 |
| 8549 | Snow Plower, Salt Spreader | Henderson FSH-I Spreader | 8.9 CY | 8.9 CY | 3.5 | Includes bucket. | hour | $16.96 |
| 8550 | Snow Blower, Truck / loader Mounted | WAUSAU SNOGO LR-44 | 114 in Cutting Width | 114 in Cutting Width | 325 | | hour | $83.95 |
| 8551 | Snow Blower, Truck Mounted | WAUSAU SNOGO 2000 | 102 in Cutting Width | 102 in Cutting Width | 218 | | hour | $111.34 |
| 8552 | Snow Blower, Truck Mounted | WAUSAU SNOGO 3000 | 114 in Cutting Width | 114 in Cutting Width | 300 | | hour | $136.98 |
| 8553 | Snow Blower, Truck Mounted | WAUSAU SNOGO 4000 | 120 in Cutting Width | 120 in Cutting Width | 400 | | hour | $162.44 |
| 8558 | Snow Thrower, Walk Behind | Toro Power Max 826 OE (37780) | 40 ft throwing distance | | 5 | Includes bucket. | hour | $3.69 |
| 8559 | Snow Thrower, Walk Behind | Toro 74523 MultiForce 60-in Blower | | | TO 25 | | hour | $16.79 |
| 8559.1 | SnowBroom | 1995 Oshkosh H-2518 Airport Runway Sweeper with 18' MB sweeper head | | | 450-500 | | hour | $246.37 |
| 8560 | Snow Blower, Self Propelled | RPM Tech TM36R Self-Propelled Snow Blower | 3,500 Ton / hr | 3,500 Ton / hr | to 385 | | hour | $189.90 |
| 8561 | Snow Blower, Self Propelled | RPM Tech TM42R Self-Propelled Snow Blower | 4,800 Ton / hr | 4,800 Ton / hr | to 450 | | hour | $171.31 |
| 8561.1 | Snow Blower | MTE Snow Mauler | | | | | hour | $317.59 |
| 8561.2 | Snow Blower | Vammas PSB 4500MTE | | | | | hour | $331.33 |
| 8563 | The Vammas 4500 | Snow Remover | Working width 4.5 m | | 385 | Includes bucket. | hour | $298.64 |
| 8564 | The Vammas 5500 | Snow Remover | Working width 5.5 m | | 460 | Includes bucket. | hour | $328.24 |
| 8565 | Oshkosh Pavement Sweeper | 2005 Oshkosh H-Series Runway Broom (Model HB-2723) | | | 420 | Includes bucket. | hour | $245.82 |
| 8569 | Dust Control De-ice Unit | Hydro Pump with 100-ft of 1/2-in hose | | | | | hour | $4.69 |
| 8572 | Loader-Backhoe, Wheel | CAT Center-Pivot Backhoe Loader 420 | Net Power - SAE J1349 92 HP (68 kW) / 103 HP (76 kW) Dig Depth - Standard 14 ft Operating Weight - Maximum 24251 lb | 14 FT | 103 | | hour | $110.03 |
| 8573 | Loader-Backhoe, Wheel | CAT Center-Pivot Backhoe Loader 450 | Net Power - SAE J1349:2011 131 hp Dig Depth - Standard 17 ft Operating Weight - Maximum 29321 lb | 17 FT | 131 | | hour | $128.68 |
| 8580 | Distributor, Asphalt | 2008 LEEBOY L500 | 550 gal | 550 gal | 16 | | hour | $14.97 |
| 8581 | Distributor, Asphalt | Miscellaneous 1000G | 1000-gal | 1000-gal | 38 | | hour | $33.08 |
| 8582 | Distributor, Asphalt | Miscellaneous 2000G | 2000-gal | 2000-gal | | PTO | hour | $32.92 |
| 8583 | Distributor, Asphalt | Miscellaneous 4000G | 4000-gal | 4000-gal | | PTO | hour | $58.07 |
| 8584 | Distributor | Etnyre Chip Spreader | 13-FT | 13-FT | to 210 | | hour | $129.06 |
| 8590 | Trailer, Rear Dump | 25DU-20 BIG TEX 20? DUMP TRAILER 13 TON 25,000 GVWR 820 | 23.7 CY Dump Trailer | | N/A | | hour | $9.00 |
| 8591 | Trailer, Rear Dump | 2016 East EAST MANUFACTURING CORP End Dump Trailer | 30 CY Dump Trailer | | N/A | | hour | $17.18 |
| 8600 | Trailer, Equipment | 2025 Big Tex Trailers 16TL Super Duty Tilt Bed Equipment Trailer | Width: 83" Length: 20', 22' GVWR: 17,500 lbs Cargo Capacity: 12,56013,420 lbs | | | | hour | $13.61 |
| 8601 | Trailer, Equipment | Kaufman Trailers tri-axle | 30 FT, 62,000 GVWR | | | | hour | $15.80 |
| 8602 | Trailer, Equipment | Miscellaneous DROP 3 60 | 60 ton | | N/A | | hour | $21.05 |
| 8603 | Trailer, Equipment | Miscellaneous FLUSH 4 120 | 120 ton | | N/A | | hour | $33.95 |
| 8610 | Trailer, Water | Miscellaneous 1200 4000 | 4000 gallon | | N/A | | hour | $17.09 |
| 8611 | Trailer, Water | Miscellaneous 1200 6000 | 6000 gallon | | N/A | | hour | $24.45 |
| 8612 | Trailer, Water | Miscellaneous 1500 10000 | 10000 gallon | | N/A | | hour | $30.77 |
| 8613 | Trailer, Water | Miscellaneous 1500 14000 | 14000 gallon | | N/A | | hour | $37.74 |
| 8614 | Truck - Water Tanker | FREIGHTLINER BUSINESS CLASS M2 106 PLUS | 4000 galon tank | | to 300 | | hour | $45.16 |
| 8621 | Tub Grinder | Morbark 1000 Tub Grinder | up to 40 ton per hour | | to 577 | | hour | $165.82 |
| 8622 | Tub Grinder | Morbark 1300 Tub Grinder | up to 80 ton per hour | | to 1050 | | Hour | $249.83 |
| 8623 | Tub Grinder | Morbark 1600 Tub Grinder | up to 190 ton per hour | | to 1200 | | hour | $352.95 |
| 8627 | Horizontal Grinder | Vermeer HG6000 Horizontal Grinder | | | 630 | | hour | $96.28 |
| 8628 | Stump Grinder | 2021 Vermeer SC852 | 23 IN Cutterwheel Diameter | | 74 | | hour | $55.28 |
| 8629 | Stump Grinder | 2024 Vermeer SC1052 | 26 IN Cutterwheel Diameter | | 115 | | hour | $56.33 |
| 8630 | Sprayer, Seed | Reinco HG-5-HA, Trailer Mounted | | | 20 | | hour | $10.07 |
| 8631 | Sprayer, Seed | Reinco HG-10GXA2, Trailer Mounted | | | 35 | Single Drum | hour | $22.28 |
| 8632 | Sprayer, Seed | Reinco HG-30GX, Truck Mounted | | | 115 | | hour | $50.34 |
| 8633 | Mulcher, Trailer Mntd | Finn B70 | | | 33.5 | | hour | $22.32 |
| 8634 | Mulcher, Trailer Mntd | Reinco M65 | | | 54 | | hour | $27.99 |
| 8635 | Mulcher, Trailer Mntd | Reinco M90 | | | 115 | | hour | $41.38 |
| 8636 | Scraper | Wirtgen WR2400 | | | 563 | | hour | $492.02 |
| 8637 | Trailer (Off Highway Bottom Dump) | Load King 2842 | 28.0 cu yd | | | | hour | $25.30 |
| 8638 | Rake | Barber Beach Sand Rake 600HD | 15 feet (5m) | | | | hour | $18.73 |
| 8639 | Chipper | Wildcat 626 Cougar | | | | | hour | $42.44 |
| 8640 | Trailer, Office | Miscellaneous 8X24 | | | | | hour | $1.99 |
| 8641 | Trailer, Office | 712 Office Trailer | | | | | hour | $2.43 |
| 8642 | Trailer, Office | 20? Mobile Office Command Trailer w/ AC/Heat (Bathroom Optional) | | | | | hour | $14.90 |
| 8644 | Trailer, Covered Utility Trailer | 7-ft x 16-ft | | | | | hour | $6.29 |
| 8645 | Trailer, Shower | 12 Station Portable Restrooms Trailer | Luxury Series | | | | | hour | $44.99 |
| 8650 | Trencher | Seaman-Parsons T20 | | | 20 | | hour | $49.22 |
| 8651 | Trencher | Seaman-Parsons T500 | | | 58 | | hour | $72.37 |
| 8652 | Trencher/Ditcher | New Holland B115B (disc. 2012) | 1.5CY | 1.5CY | 108 | | hour | $73.50 |
| 8653 | Trencher/Ditcher | New Holland T8.330 (disc. 2014) | | | 284 | | hour | $151.12 |
| 8654 | Trench Burner | Through-Pu average 10 to 12 Tons per hour | McPherson Systems air curtain destructor | nozzle length- 30 foot. | 75 | | hour | $20.79 |
| 8660 | Plow, Cable | Case MAXI-SNEAKER C (disc. 2003) | 24-in | 24-in | 33.5 | | hour | $18.74 |
| 8661 | Plow, Cable | Seaman-Parsons DP-60 | 18-in | 18-in | 82 | | hour | $57.52 |
| 8662 | Plow, Cable | Seaman-Parsons DP-100 | 42-in | 42-in | 110 | | hour | $64.42 |
| 8670 | Derrick, Hydraulic Digger | Miscellaneous 60/12- Hydraulic Digger Derricks | | | | | hour | $27.09 |
| 8671 | Derrick, Hydraulic Digger | Miscellaneous 990/14 - Hydraulic Digger Derricks | | | | | hour | $47.61 |
| 8672 | Movax SP-60 | 28-32 ton Head | | | 178 | | hour | $134.98 |
| 8673 | Truck, Concrete Mixer | Mixer Capacity = 13 cy | 13-CY | 13-CY | 285.0 | Saved in EW as 8680-1. Somehow was changed from Truck, Fire Aerial Platform to concrete mixer. | hour | $93.46 |
| 8680 | Truck, Fire, Engine Type 1 | KME K-180 Side Mount Pumper | Waterous CSU 1500 GPM FRC InControl Pressure Governor 1000 Gallons Water 20 Gallons Foam Pre-Connects: (2) 1-3/4 Crosslays, (1) 2-1/2 Crosslay and 1-1/2 Front Trashline Discharges: (1) 2-1/2 Left, Right and Rear, (1) LDH Discharge right, Deck Gun TFT Extenda-Gun on Deluge Riser UPF Water Tank | Pump GPM:1500 Tank Size:1000 GA | to 500 | | Hour | $162.44 |
| 8681 | Truck, Fire, Engine Type 2 | Freightliner | Hale QMAX 1500 GPM Top-Mount Pump 1500 Gallon Polypropylene Tank Driver's Side Discharges: (2) 2 1/2" Front Discharges: (1) 2" Crosslays/Speedlays: Crosslays: (2) 1 3/4" Officer's Side Discharge: (2) 2 1/2" Rear Discharges: (1) 2 1/2" Driver's Side Suction: (1) 2 1/2", (1) 6" Officer's Side Suction: (1) 2 1/2", (1) 6" Deck Gun Included | Pump GPM:1500 Tank Size:1500 GA | 350 | | Hour | $115.72 |
| 8682 | Truck, Fire, Engine Type 3 | Freightliner | | Pump GPM:500 Tank Size:500 GA | 350 | | hour | $90.66 |
| 8683 | Truck, Fire, Engine Type 4 | International | | Pump GPM:50-250 Tank Size:800 GA | 350 | | hour | $81.58 |
| 8684 | Truck, Fire, Type 5, 6 & 7 | 2025 RAM 5500 44 Dodge Wildland 4 Door Commercial Cummins 6.7L Diesel Engine Aisin AS69RC Automatic Transmission TOMAR Scorpion full integrated scene/emergency lights | Pump & Tank Hale HPX200 160 GPM Pump 450 Gallon Tank 12 Gallon Foam Cell | Pump GPM:160 Tank Size:450 GA | 350 | | hour | $82.87 |
| 8685 | Truck, Fire, Aerial Ladder | 107' Heavy-Duty Aerial Ladder | Flow Capacity 1,500 gpm Hosebed Capacity 1,000' of 5" or split load 700' of 5" & 600' of 3" hose Ladder Complement Minimum of 115' Ladder Reach 107' Vertical / 100' Horizontal Operating Range -10 to 77 Payload Capacity 750 lb dry / 500 lb wet Pump Range Waterous, Hale, Darley Midship, PTO Tank Up to 500 gallons Wind or Ice Ratings Up to 50 mph winds and 1/4" of ice | | 500 | | hour | $260.51 |
| 8686 | Truck, Fire, Aerial Platform | 110' Heavy-Duty Aerial Platform | Flow Capacity 1,250 gpm (4,732 L/m) Hosebed Capacity 1,000' (304.8m) of 5" (12.7cm) or split load 700' (213.4m) of 5" (12.7cm) & 600' (182.9m) of 3" (7.6cm) hose Ladder Complement Minimum of 115' (35.1m) Ladder Reach 110' (33.5m) Vertical / 90' (27.4m) Horizontal Operating Range -10 to 77 Payload Capacity 750 lb dry / 500 lb wet (340kg dry/227kg wet) Pump Range Waterous, Hale, Darley Midship, PTO Tank Up to 500 gallons (1,892L) Wind or Ice Ratings Up to 35 mph (56 km/h) winds and .25" (.64cm) of ice | | 500 | | hour | $346.39 |
